Number,Type,Release date/date of original information retrieval,Source,Accessed on,Manufacturer,Product,Hash rate in Mh/s,Power in W,Efficiency in Mh/J
,,25-Jun-2014,https://www.ccn.com/rockminer-r-box-32-ghs-bitcoin-miner-asicminer-be200-asic-chips/,06-May-2018,,,,,
39,ASIC,25-Aug-2014,https://www.bitcoinmining.com/bitcoin-mining-hardware/ ,06-May-2018,Rockminer,ROCKMINTER T1 800G,"800,000","1,000",800
,,25-Aug-2014,https://www.ccn.com/review-rockminer-t1-800-ghs-bitcoin-asic-miner/,06-May-2018,,,,,
40,ASIC,1-Sep-2014,https://cdn.shopify.com/s/files/1/0389/3233/files/SP31_User_Guide.pdf,06-May-2018,Spondoolies-Tech,Spondooliestech SP31 Yukon,"4,900,000","3,000",1633
,,1-Sep-2014,https://en.bitcoin.it/wiki/Mining_hardware_comparison,06-May-2018,,,,,
41,ASIC,19-Sep-2014,https://www.ccn.com/review-asicminer-tube-830-ghs-bitcoin-miner-sold-us-112bit-com/,06-May-2018,ASICMiner,ASICMiner BE Tube ,"830,000",900,922
42,ASIC,25-Sep-2014,https://en.bitcoin.it/wiki/Mining_hardware_comparison,06-May-2018,Butterfly Labs,BFL Monarch 700GH/s,"700,000",490,1429
43,ASIC,26-Sep-2014,https://www.bitcoinmining.com/bitcoin-mining-hardware/ ,06-May-2018,BTC Garden,BTC Garden AM-V1 616 GH/S,"616,000",647,952
,,26-Sep-2014,https://www.ccn.com/review-bitcoin-miner-btcgarden-v1-x2/,06-May-2018,,,,,
44,ASIC,1-Oct-2014,https://bitcointalk.org/index.php?topic=791827.0,06-May-2018,ASICMiner,ASICMiner BE Prisma ,"1,400,000","1,200",1167
,,1-Oct-2014,https://www.ccn.com/review-asicminer-returns-prisma-1-4-ths-bitcoin-miner/,06-May-2018,,,,,
45,ASIC,1-Oct-2014,https://bitcointalk.org/index.php?topic=1022085.0,06-May-2018,Black Arrow,Black Arrow Prospero X-1,"100,000",100,1000
,,1-Oct-2014,https://www.ccn.com/black-arrow-new-bitcoin-mining-manufacturer-dark-problems/,06-May-2018,,,,,
,,1-Oct-2014,https://www.bitcoinmining.com/bitcoin-mining-hardware/,06-May-2018,,,,,
